RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
California,1,,,,,,,,,,,,,,2150,2150,2200,2200,2200,2100,2095,2000,1990,1900,1895,1850,1850,1895,1850,1845,1850,1845,1800,1800,1800,1795,1750,1769.5,1795,1795,1795,1795,1800,1850,1795,1850,1850,1800,1895,1850,1800,1800,1800,1995,2000,2000,2000,2000,2000,2000,2000,2000,2095,2100,2150,2200,2250,2250,2275,2295,2290,2300,2300,2295,2300,2395,2395,2395,2400,2400,2400,2395,2350,2400,2300,2400,2500,2500,2648,2696,2700,2700,2700,2700,2695,2650,2650,2675,2700,2700,2750,2800,2800,2814.5,2800,2800,2795
Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1026,1075,1089,1170,1181,1275,1201,1275,1275,1275,1250,1259.5,1250,1250,1290,1300,1350,1375,1395,1395,1375,1374,1375,1375,1375,1395,1400,1425,1450,1495,1450,1450,1425,1425,1425,1425,1425,1425,1450,1450,1450,1450,1450,1450,1400,1400,1400,1395,1450,1475,1495,1500,1550,1550,1550,1525,1525,1500,1500,1500,1500,1500,1500,1550,1575,1595,1595,1590,1550,1550
New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3590,3895,3500,3800,3595,3800,4000,3700,3663,3400,3300,3265
Florida,4,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1380,1400,1495,1450,1450,1500,1495,1495,1450,1450,1450,1400,1400,1450,1450,1500,1500,1500,1550,1510,1595,1600,1650,1625,1600,1550,1500,1500,1600,1600,1600,1595,1600,1590,1550,1525,1500,1550,1575,1590,1600,1600,1600,1600,1600,1600,1603.5,1619,1650,1650,1700,1695,1650,1650,1600,1600,1600,1600,1695,1595,1600,1650,1675,1700,1700,1749,1750,1750,1750,1750,1775,1750,1750,1790,1795,1800,1800,1800,1800,1800,1800,1795
Illinois,5,,1635,1600,1600,1600,1650,1650,1600,1595,1600,1600,1650,1590,1550,1500,1577,1600,1600,1650,1600,1600,1550,1500,1500,1495,1500,1500,1495,1500,1550,1538,1544,1482,1450,1450,1460,1464,1445,1475,1475,1500,1500,1523,1550,1500,1500,1500,1525,1500,1500,1500,1499,1550,1575,1590,1585,1595,1575,1549,1519,1525,1549,1550,1585,1596,1595,1600,1600,1575,1550,1550,1530,1500,1500,1500,1545,1550,1550,1550,1550,1500,1500,1500,1500,1475,1450,1495,1500,1550,1550,1575,1550,1500,1500,1495,1495,1475,1500,1500,1525,1550,1595,1600,1575,1550,1545
Pennsylvania,6,,1397.5,1395,1400,1400,1400,1400,1400,1400,1395,1375,1375,1295,1250,1275,1325,1350,1350,1350,1350,1300,1250,1200,1200,1200,1200,1250,1260,1295,1295,1300,1250,1200,1200,1200,1175,1200,1200,1245,1250,1300,1300,1300,1295,1250,1250,1200,1200,1200,1200,1200,1200,1300,1350,1350,1300,1295,1250,1250,1250,1250,1250,1300,1325,1350,1385,1350,1320,1300,1250,1275,1250,1250,1250,1300,1350,1350,1300,1300,1300,1275,1250,1250,1250,1250,1250,1300,1350,1350,1350,1350,1300,1275,1250,1275,1275,1275,1295,1300,1350,1350,1350,1300,1300,1300,1300
Ohio,7,,,,,,,,,,,,,,895,900,995,1000,1000,1075,1000,1000,950,900,899.5,950,950,950,850,850,875,860,882.5,875,875,900,850,825,810,850,850,895,879.5,875,895,975,995,900,1000,925,900,900,900,1000,995,975,995,995,995,975,975,975,995,1035,1050,1050,1095,1000,1000,1000,1000,1025,1000,1000,1000,1095,1100,1075,1059,1100,1059,975,985,975,950,975,950,995,1050,1050,1050,1050,1000,1020,1000,995,995,975,990,1025,1100,1095,1100,1090,1050,1075,1050
Michigan,8,,1250,1300,1250,1300,1300,1275,1250,1200,1175,1150,1150,1000,995,1000,1050,1100,1100,1100,1100,1000,825,800,800,800,825,850,850,850,825,827.5,850,850,850,850,800,800,800,825,825,850,850,850,850,850,875,850,850,850,850,850,850,892.5,895,895,900,900,900,900,900,895,895,900,900,900,900,900,900,925,950,950,925,950,925,950,985,980,950,1000,1000,975,1000,1000,995,975,950,995,1000,1000,1050,1050,1025,1050,1029,1000,1000,999,1000,1050,1100,1100,1100,1100,1100,1100,1100
Georgia,9,1099,1150,1200,1200,1200,1200,1200,1200,1200,1200,1195,1200,1149,1100,1100,1150,1180,1150,1125,1100,1100,1100,1075,1050,1050,1050,1075,1050,1050,1090,1050,1050,1050,1045,1000,1000,1000,975,1000,1000,1075,1075,1075,1095,1095,1090,1050,1095,1089,1050,1050,1075,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1165,1195,1199,1195,1150,1150,1150,1150,1150,1150,1150,1200,1200,1245,1200,1250,1225,1200,1229,1225,1217,1250,1250,1295,1300,1325,1345,1350,1310,1300,1300,1300,1300,1300,1300,1350,1395,1395,1400,1400,1395,1375,1375
North Carolina,10,,1050,1000,1050,1100,1150,1150,1175,1150,1150,1100,1150,1050,1000,1000,1050,1095,1095,1095,1086,1050,1025,1000,1000,1000,1000,1050,1075,1095,1095,1095,1050,1000,1000,1000,1000,1000,995,1000,1050,1095,1100,1100,1100,1095,1075,1050,1050,1050,1050,1050,1075,1100,1100,1100,1100,1100,1100,1095,1095,1100,1100,1145,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1100,1150,1195,1195,1195,1200,1200,1190,1175,1175,1150,1200,1200,1245,1259.5,1295,1295,1295,1275,1275,1275,1295,1295,1295,1295,1300,1350,1350,1350,1350,1335,1325,1345
New Jersey,11,,1650,1650,1650,1700,1697.5,1650,1650,1600,1700,1650,1700,1700,1700,1700,1800,1800,1850,1800,1800,1700,1650,1700,1700,1700,1700,1750,1800,1800,1850,1800,1800,1700,1695,1700,1700,1700,1700,1750,1800,1900,1850,1800,1850,1800,1800,1750,1800,1800,1750,1750,1750,1900,1950,1900,1895,1825,1800,1800,1800,1800,1850,1900,1935,2000,1975,2000,1975,1875,1850,1850,1850,1850,1850,1900,1999.5,1975,2000,1950,1950,1900,1875,1850,1800,1800,1850,1900,2000,2000,2028,2000,1999.5,1950,1900,1900,1895,1875,1892.5,1900,1950,2000,2000,2000,2000,2000,1950
Virginia,12,,1350,1300,1350,1400,1500,1550,1450,1375,1300,1350,1399.5,1350,1350,1395,1450,1500,1500,1500,1495,1427.5,1400,1375,1350,1350,1350,1400,1400,1450,1500,1495,1475,1400,1400,1400,1400,1400,1438,1495,1495,1500,1550,1590,1575,1550,1500,1495,1500,1475,1450,1450,1495,1600,1600,1650,1650,1600,1595,1595,1550,1550,1550,1550,1595,1625,1650,1650,1650,1600,1595,1575,1550,1500,1515,1550,1600,1650,1625,1700,1675,1595,1600,1575,1525,1550,1500,1550,1600,1650,1695,1700,1650,1600,1595,1595,1595,1550,1575,1600,1650,1700,1750,1795,1750,1700,1690
Washington,13,,1350,1395,1400,1412.5,1480,1550,1600,1595,1550,1500,1495,1400,1400,1450,1450,1495,1500,1495,1450,1400,1395,1375,1350,1350,1350,1385,1395,1395,1395,1400,1395,1395,1385,1350,1350,1325,1325,1350,1395,1450,1450,1450,1495,1475,1475,1495,1495,1475,1450,1450,1450,1495,1500,1500,1550,1550,1500,1500,1500,1500,1500,1500,1550,1595,1595,1600,1650,1600,1600,1600,1600,1600,1647,1625,1642.5,1650,1695,1750,1750,1750,1749,1705,1695,1795,1800,1850,1949,1978,2095,2100,2100,2095,1995,1995,1975,1995,1995,1995,2045,2100,2175,2195,2150,2095,2000
Massachusetts,14,,,1490,1540,1587.5,1600,1550,1600,1530,1530,1562.5,1695,1800,1750,1700,1900,1997.5,2000,2000,1937.5,1900,1800,1800,1800,1850,1900,1987.5,2000,2099.5,2200,2200,2000,2020,2000,2000,2000,2100,2105,2100,2160,2250,2357.5,2399.5,2400,2300,2250,2200,2240,2300,2250,2225,2300,2650,2600,2500,2400,2300,2220,2245,2300,2472,2500,2542.5,2579,2600,2600,2579,2500,2400,2333,2350,2499,2508.5,2695,2700,2700,2672,2750,2600,2600,2460,2400,2350,2350,2500,2600,2700,2800,2800,2800,2800,2650,2600,2500,2500,2600,2685,2750,2950,3100,2840,2800,2800,2750,2600,2500
Indiana,15,,1175,1200,1250,1277.5,1250,1250,1300,1100,1150,1150,1087.5,895,875,900,950,912.5,850,844,850,800,800,800,800,850,850,850,800,797,790,800,825,825,820,800,765,775,775,800,849.5,875,875,900,895,900,900,875,925,900,897,895,900,975,950,950,995,995,975,950,950,950,975,1000,1045,1050,1025,995,950,925,900,900,895,900,927.5,975,1000,1035,1000,1050,995,975,950,995,985,950,1000,1022.5,1050,1075,1075,1095,1050,1050,1025,999,990,995,1000,1075,1100,1100,1100,1100,1050,1095,1080
